@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15
@outputs Class
@data
a,2608.0,8665.0,u,g,aa,v,1415.0,t,f,0,f,g,160,150,positive
b,4767.0,29.0,u,g,c,bb,15.0,t,t,20,f,g,0,15000,positive
b,4875.0,85.0,u,g,c,h,125.0,t,t,9,f,g,181,1655,positive
a,2867.0,104.0,u,g,c,v,25.0,t,t,5,t,g,300,1430,positive
a,3308.0,4625.0,u,g,q,h,1625.0,t,t,2,f,g,0,0,positive
b,42.0,205.0,u,g,i,h,5125.0,t,f,0,f,g,400,0,positive
a,4133.0,1.0,u,g,i,bb,225.0,t,f,0,t,g,0,300,positive
b,2867.0,9335.0,u,g,q,h,5665.0,t,t,6,f,g,381,168,positive
b,2517.0,35.0,u,g,cc,v,625.0,t,t,7,f,g,0,7059,positive
a,4742.0,3.0,u,g,x,v,13875.0,t,t,2,t,g,519,1704,positive
b,335.0,175.0,u,g,x,h,45.0,t,t,4,t,g,253,857,positive
b,2767.0,1375.0,u,g,w,v,575.0,t,f,0,t,g,487,500,positive
b,2183.0,11.0,u,g,x,v,29.0,t,t,6,f,g,121,0,positive
b,4025.0,215.0,u,g,e,z,20.0,t,t,11,f,g,0,1200,positive
b,4142.0,5.0,u,g,q,h,5.0,t,t,6,t,g,470,0,positive
a,4817.0,1335.0,u,g,i,o,335.0,f,f,0,f,g,0,120,negative
b,18.0,165.0,u,g,q,n,21.0,f,f,0,f,g,200,40,positive
b,3233.0,25.0,u,g,c,v,125.0,f,f,0,t,g,280,0,negative
b,3067.0,25.0,u,g,cc,h,225.0,f,f,0,t,s,340,0,negative
b,1858.0,571.0,u,g,d,v,54.0,f,f,0,f,g,120,0,negative
a,1817.0,10.0,y,p,q,h,165.0,f,f,0,f,g,340,0,negative
b,2117.0,875.0,y,p,c,h,25.0,f,f,0,f,g,280,204,negative
a,165.0,125.0,u,g,q,v,25.0,f,t,1,f,g,108,98,negative
b,1758.0,10.0,u,g,w,h,165.0,f,t,1,f,g,120,1,negative
b,295.0,58.0,u,g,w,v,29.0,f,t,1,f,g,340,2803,negative
b,2542.0,54.0,u,g,w,v,165.0,f,t,1,f,g,272,444,negative
a,2475.0,13665.0,u,g,q,h,15.0,f,f,0,f,g,280,1,negative
b,235.0,275.0,u,g,ff,ff,45.0,f,f,0,f,g,160,25,negative
b,175.0,22.0,l,gg,ff,o,0.0,f,f,0,t,p,450,100000,positive
b,2767.0,75.0,u,g,q,h,165.0,f,f,0,t,g,220,251,negative
b,28.0,3.0,u,g,w,v,75.0,f,f,0,t,g,300,67,negative
b,2692.0,225.0,u,g,i,bb,5.0,f,f,0,t,g,640,4000,negative
b,3375.0,275.0,u,g,i,bb,0.0,f,f,0,f,g,180,0,negative
b,6275.0,7.0,u,g,e,z,0.0,f,f,0,f,g,0,12,negative
b,6333.0,54.0,u,g,c,v,585.0,t,t,3,t,g,180,0,negative
b,2783.0,15.0,u,g,w,v,225.0,f,t,1,t,g,100,3,negative
a,3675.0,471.0,u,g,ff,ff,0.0,f,f,0,f,g,160,0,negative
b,2683.0,54.0,u,g,k,ff,0.0,f,f,0,f,g,100,0,negative
b,1692.0,335.0,y,p,k,v,29.0,f,f,0,f,s,200,0,negative
a,2275.0,6165.0,u,g,aa,v,165.0,f,f,0,f,g,220,1000,negative
b,3942.0,171.0,y,p,m,v,165.0,f,f,0,f,s,400,0,negative
b,33.0,25.0,y,p,w,v,7.0,f,f,0,t,g,280,0,negative
b,2067.0,835.0,y,p,c,v,2.0,f,f,0,t,s,240,0,negative
a,2267.0,7.0,u,g,c,v,165.0,f,f,0,f,g,160,0,negative
b,2667.0,14585.0,u,g,i,bb,0.0,f,f,0,t,g,178,0,negative
b,2983.0,204.0,y,p,x,h,4.0,f,f,0,f,g,128,1,negative
b,2617.0,125.0,y,p,k,h,125.0,f,f,0,t,g,0,17,negative
b,31.0,2085.0,u,g,c,v,85.0,f,f,0,f,g,300,0,negative
a,2267.0,335.0,u,g,q,v,75.0,f,f,0,f,s,160,0,negative
b,2517.0,3.0,u,g,c,v,125.0,f,t,1,f,g,0,22,negative
a,2225.0,125.0,y,p,ff,ff,325.0,f,f,0,f,g,280,0,negative
b,225.0,125.0,y,p,k,v,125.0,f,f,0,f,g,200,70,negative
b,3958.0,5.0,u,g,ff,ff,0.0,f,t,2,f,g,17,1,negative
a,1767.0,0.0,y,p,j,ff,0.0,f,f,0,f,g,86,0,negative
b,2408.0,875.0,u,g,m,v,85.0,f,t,4,f,g,254,1950,negative
a,3658.0,29.0,u,g,ff,ff,0.0,f,t,10,f,g,200,18,negative
a,23.0,1835.0,u,g,j,j,0.0,f,t,1,f,g,200,53,negative
a,1733.0,95.0,u,g,aa,v,175.0,f,t,10,t,g,0,10,negative
b,2375.0,415.0,y,p,c,v,4.0,f,t,2,f,g,128,6,negative
b,7483.0,19.0,y,p,ff,ff,4.0,f,t,2,f,g,0,351,negative
b,2017.0,925.0,u,g,c,v,1665.0,t,t,3,t,g,40,28,positive
a,3067.0,12.0,u,g,c,v,2.0,t,t,1,f,g,220,19,positive
b,21.0,479.0,y,p,w,v,225.0,t,t,1,t,g,80,300,positive
a,6092.0,5.0,u,g,aa,v,4.0,t,t,4,f,g,0,99,positive
b,1608.0,75.0,u,g,c,v,175.0,t,t,5,t,g,352,690,positive
a,5708.0,335.0,u,g,i,bb,1.0,t,f,0,t,g,252,2197,negative
a,5575.0,708.0,u,g,k,h,675.0,t,t,3,t,g,100,50,negative
a,2533.0,2085.0,u,g,c,h,275.0,t,f,0,t,g,360,1,negative
b,4317.0,225.0,u,g,i,bb,75.0,t,f,0,f,g,560,0,negative
b,3183.0,25.0,u,g,aa,v,75.0,t,f,0,t,g,523,0,negative
b,2333.0,15.0,u,g,c,h,1415.0,t,f,0,f,g,422,200,positive
a,3575.0,915.0,u,g,aa,v,75.0,t,t,4,f,g,0,1583,positive
b,21.0,3.0,y,p,d,v,1085.0,t,t,8,t,g,160,1,positive
a,2033.0,10.0,u,g,c,h,1.0,t,t,4,f,g,50,1465,positive
b,3017.0,5.0,u,g,c,v,175.0,t,t,11,f,g,32,540,positive
b,3917.0,1625.0,u,g,c,v,15.0,t,t,10,f,g,186,4700,positive
b,3167.0,83.0,u,g,x,v,1335.0,t,t,8,t,g,303,3290,positive
b,485.0,425.0,u,g,m,v,125.0,t,f,0,t,g,225,0,positive
b,2575.0,75.0,u,g,c,bb,25.0,t,f,0,f,g,349,23,positive
b,4783.0,4165.0,u,g,x,bb,85.0,f,f,0,t,g,520,0,negative
b,3225.0,14.0,y,p,ff,ff,0.0,f,t,2,f,g,160,1,negative
b,2217.0,225.0,u,g,i,v,125.0,f,f,0,f,g,160,10,negative
b,2158.0,79.0,y,p,cc,v,665.0,f,f,0,f,g,160,0,negative
a,1958.0,665.0,u,g,w,v,1665.0,f,f,0,f,g,220,5,negative
b,3242.0,2165.0,y,p,k,ff,0.0,f,f,0,f,g,120,0,negative
a,2375.0,71.0,u,g,w,v,25.0,f,t,1,t,g,240,4,negative
b,2858.0,3625.0,u,g,aa,v,25.0,f,f,0,t,g,100,0,negative
a,525.0,7.0,u,g,aa,h,3.0,f,f,0,f,g,0,0,negative
b,2408.0,9.0,u,g,aa,v,25.0,f,f,0,t,g,0,0,negative
a,1583.0,7625.0,u,g,q,v,125.0,f,t,1,t,g,0,160,negative
a,1575.0,375.0,u,g,c,v,1.0,f,f,0,f,g,120,18,negative
a,2858.0,375.0,u,g,c,v,25.0,f,t,1,t,g,40,154,negative
b,3108.0,15.0,y,p,w,v,4.0,f,f,0,f,s,160,0,negative
b,3183.0,4.0,y,p,m,v,4.0,f,f,0,f,g,0,0,negative
b,2583.0,12835.0,u,g,cc,v,5.0,f,f,0,f,g,0,2,negative
