@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15
@outputs Class
@data
b,2758.0,204.0,y,p,aa,v,2.0,t,t,3,t,g,370,560,positive
b,3633.0,2125.0,y,p,w,v,85.0,t,t,1,f,g,50,1187,positive
b,3517.0,25.0,u,g,k,v,45.0,t,t,7,f,g,150,1270,positive
b,395.0,425.0,u,g,c,bb,65.0,t,t,16,f,g,117,1210,positive
b,6008.0,145.0,u,g,ff,ff,18.0,t,t,15,t,g,0,1000,positive
b,4817.0,35.0,u,g,aa,v,35.0,t,f,0,f,s,230,0,positive
b,2208.0,11.0,u,g,cc,v,665.0,t,f,0,f,g,100,0,positive
a,5842.0,21.0,u,g,i,bb,10.0,t,t,13,f,g,0,6700,positive
a,2067.0,1835.0,u,g,q,v,2085.0,t,t,5,f,g,220,2503,positive
b,4283.0,4625.0,u,g,q,v,458.0,t,f,0,f,s,0,0,positive
b,3317.0,304.0,y,p,c,h,204.0,t,t,1,t,g,180,18027,positive
a,1967.0,21.0,u,g,q,h,29.0,t,t,11,f,g,80,99,positive
a,1783.0,11.0,u,g,x,h,1.0,t,t,11,f,g,0,3000,positive
b,20.0,11045.0,u,g,c,v,2.0,f,f,0,t,g,136,0,negative
b,3275.0,2335.0,u,g,d,h,575.0,f,f,0,t,g,292,0,negative
a,5217.0,0.0,y,p,ff,ff,0.0,f,f,0,f,g,0,0,negative
b,1808.0,675.0,y,p,m,v,4.0,f,f,0,f,g,140,0,negative
b,3825.0,10125.0,y,p,k,v,125.0,f,f,0,f,g,160,0,negative
a,1917.0,5415.0,u,g,i,h,29.0,f,f,0,f,g,80,484,negative
b,1883.0,415.0,y,p,c,v,165.0,f,t,1,f,g,200,1,negative
a,1608.0,335.0,u,g,ff,ff,0.0,f,t,1,f,g,160,126,negative
b,3292.0,25.0,u,g,aa,v,175.0,f,t,2,t,g,720,0,negative
b,1825.0,165.0,u,g,d,v,25.0,f,f,0,t,s,280,0,negative
a,1592.0,2875.0,u,g,q,v,85.0,f,f,0,f,g,120,0,negative
b,1917.0,0.0,y,p,m,bb,0.0,f,f,0,t,s,500,1,positive
b,3367.0,125.0,u,g,w,v,1165.0,f,f,0,f,g,120,0,negative
b,3483.0,25.0,y,p,w,v,3.0,f,f,0,f,s,200,0,negative
a,3325.0,25.0,y,p,c,v,25.0,f,f,0,t,g,0,2,negative
a,3325.0,3.0,y,p,aa,v,2.0,f,f,0,f,g,180,0,negative
a,3908.0,4.0,u,g,c,v,3.0,f,f,0,f,g,480,0,negative
b,3892.0,175.0,u,g,k,v,5.0,f,f,0,t,g,300,2,negative
b,3075.0,1585.0,u,g,d,v,585.0,f,f,0,t,s,0,0,negative
a,16.0,165.0,u,g,aa,v,1.0,f,t,2,t,g,320,1,negative
b,3242.0,3.0,u,g,d,v,165.0,f,f,0,t,g,120,0,negative
b,2442.0,2.0,u,g,e,dd,165.0,f,t,2,f,g,320,1300,negative
b,2625.0,154.0,u,g,w,v,125.0,f,f,0,f,g,100,0,negative
a,2083.0,5.0,y,p,e,dd,1.0,f,f,0,f,g,260,0,negative
b,3442.0,1335.0,u,g,i,bb,125.0,f,f,0,t,g,440,4500,negative
b,2742.0,125.0,u,g,aa,bb,25.0,f,f,0,t,g,720,0,negative
a,3308.0,1625.0,u,g,d,v,54.0,f,f,0,t,g,0,0,negative
b,2892.0,375.0,u,g,c,v,29.0,f,f,0,f,g,220,140,negative
a,1958.0,665.0,y,p,c,v,1.0,f,t,1,f,g,2000,2,negative
b,16.0,3125.0,u,g,w,v,85.0,f,t,1,f,g,0,6,negative
b,3125.0,2835.0,u,g,ff,ff,0.0,f,t,5,f,g,176,146,negative
a,2267.0,79.0,u,g,i,v,85.0,f,f,0,f,g,144,0,negative
b,4058.0,15.0,u,g,i,bb,0.0,f,f,0,f,s,300,0,negative
a,2767.0,204.0,u,g,w,v,25.0,f,f,0,t,g,180,50,negative
b,3358.0,335.0,y,p,cc,v,85.0,f,f,0,f,g,180,0,negative
b,2292.0,3165.0,y,p,c,v,165.0,f,f,0,f,g,160,1058,negative
b,2592.0,875.0,u,g,k,v,375.0,f,t,2,t,g,174,3,negative
b,1725.0,3.0,u,g,k,v,4.0,f,f,0,t,g,160,40,negative
b,5242.0,15.0,u,g,d,v,375.0,f,f,0,t,g,0,350,negative
b,2967.0,75.0,y,p,c,v,4.0,f,f,0,f,g,240,0,negative
b,2567.0,29.0,y,p,c,v,15.0,f,f,0,t,g,160,0,negative
a,245.0,2415.0,y,p,c,v,0.0,f,f,0,f,g,120,0,negative
b,2108.0,4125.0,y,p,i,h,4.0,f,f,0,f,g,140,100,negative
b,235.0,3165.0,y,p,k,v,415.0,f,t,1,t,g,280,80,negative
b,3925.0,95.0,u,g,m,v,65.0,t,t,14,f,g,240,4607,positive
b,2575.0,5.0,u,g,c,v,146.0,t,t,5,t,g,312,0,positive
a,6408.0,165.0,u,g,ff,ff,0.0,t,t,1,f,g,232,100,positive
a,46.0,4.0,u,g,j,j,0.0,t,f,0,f,g,100,960,positive
b,2267.0,254.0,y,p,c,h,2585.0,t,f,0,f,g,0,0,positive
a,30.0,529.0,u,g,e,dd,225.0,t,t,5,t,g,99,500,positive
b,2283.0,3.0,u,g,m,v,129.0,t,t,1,f,g,260,800,positive
b,4517.0,15.0,u,g,c,v,25.0,t,f,0,t,g,140,0,negative
a,2492.0,125.0,u,g,ff,ff,0.0,t,f,0,f,g,80,0,negative
b,3425.0,175.0,u,g,w,bb,25.0,t,f,0,t,g,163,0,negative
b,3633.0,379.0,u,g,w,v,1165.0,t,f,0,t,g,200,0,negative
b,3008.0,104.0,y,p,i,bb,5.0,t,t,10,t,g,132,28,negative
b,4833.0,12.0,u,g,m,v,16.0,t,f,0,f,s,110,0,positive
b,3475.0,15.0,u,g,r,n,5375.0,t,t,9,t,g,0,134,positive
a,3217.0,146.0,u,g,w,v,1085.0,t,t,16,f,g,120,2079,positive
b,4217.0,504.0,u,g,q,h,1275.0,t,f,0,t,g,92,0,positive
a,2083.0,3.0,u,g,aa,v,4.0,t,f,0,f,g,100,0,positive
a,6517.0,14.0,u,g,ff,ff,0.0,t,t,11,t,g,0,1400,positive
b,5158.0,15.0,u,g,c,v,85.0,t,t,9,f,g,0,0,positive
a,4608.0,3.0,u,g,c,v,2375.0,t,t,8,t,g,396,4159,positive
b,205.0,2415.0,u,g,c,v,2.0,t,t,11,t,g,200,3000,positive
b,2008.0,25.0,u,g,q,v,125.0,f,f,0,f,g,200,0,negative
b,3233.0,35.0,u,g,k,v,5.0,f,f,0,t,g,232,0,negative
b,2925.0,13.0,u,g,d,h,5.0,f,f,0,f,g,228,0,negative
b,4092.0,5.0,y,p,m,v,5.0,f,f,0,t,g,130,0,negative
b,3558.0,75.0,u,g,k,v,15.0,f,f,0,t,g,231,0,negative
a,3517.0,375.0,u,g,ff,ff,0.0,f,t,6,f,g,0,200,negative
b,215.0,115.0,u,g,i,v,5.0,t,f,0,t,g,100,68,negative
a,2108.0,5.0,y,p,ff,ff,0.0,f,f,0,f,g,0,0,negative
b,2567.0,325.0,u,g,c,h,229.0,f,t,1,t,g,416,21,negative
b,2983.0,35.0,u,g,c,v,165.0,f,f,0,f,g,216,0,negative
a,235.0,15.0,u,g,w,v,875.0,f,f,0,t,g,160,0,negative
b,3208.0,4.0,y,p,cc,v,15.0,f,f,0,t,g,120,0,negative
a,1792.0,54.0,u,g,c,v,175.0,f,t,1,t,g,80,5,negative
b,3033.0,5.0,u,g,d,h,85.0,f,f,0,t,s,252,0,negative
