@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15
@outputs Class
@data
b,3408.0,65.0,u,g,aa,v,125.0,t,f,0,t,g,443,0,negative
a,1917.0,585.0,y,p,aa,v,585.0,t,f,0,t,g,160,0,negative
b,3717.0,4.0,u,g,c,bb,5.0,t,f,0,t,s,280,0,negative
b,625.0,1275.0,y,p,c,h,5.0,t,f,0,f,g,112,0,negative
b,3142.0,155.0,u,g,c,v,5.0,t,f,0,f,g,120,0,negative
b,3525.0,165.0,y,p,c,v,4.0,t,f,0,f,g,80,0,negative
b,25.0,12.0,u,g,k,v,225.0,t,t,2,t,g,120,5,negative
b,4092.0,225.0,y,p,x,h,10.0,t,f,0,t,g,176,0,negative
a,2542.0,1125.0,u,g,q,v,129.0,t,t,2,f,g,200,0,negative
b,2275.0,11.0,u,g,q,v,25.0,t,t,7,t,g,100,809,positive
b,6775.0,55.0,u,g,e,z,13.0,t,t,1,t,g,0,0,positive
b,3625.0,5.0,u,g,c,bb,25.0,t,t,6,f,g,0,367,positive
b,2325.0,15.0,u,g,q,v,2375.0,t,t,3,t,g,0,582,positive
a,4667.0,46.0,u,g,cc,h,415.0,t,t,11,t,g,440,6,positive
b,2308.0,25.0,u,g,c,v,1085.0,t,t,11,t,g,60,2184,positive
b,3275.0,15.0,u,g,cc,h,55.0,t,t,3,t,g,0,0,positive
a,285.0,304.0,y,p,x,h,254.0,t,t,1,f,g,70,0,positive
b,4133.0,0.0,u,g,c,bb,15.0,t,f,0,f,g,0,0,positive
b,56.0,125.0,u,g,k,h,8.0,t,f,0,t,g,24,2028,positive
b,2017.0,817.0,u,g,aa,v,196.0,t,t,14,f,g,60,158,positive
a,2242.0,5665.0,u,g,q,v,2585.0,t,t,7,f,g,129,3257,positive
b,2133.0,105.0,u,g,c,v,3.0,t,f,0,t,g,0,0,positive
b,2258.0,1004.0,u,g,x,v,4.0,t,t,9,f,g,60,396,positive
a,2408.0,5.0,u,g,q,h,125.0,t,t,1,f,g,0,678,positive
a,3542.0,12.0,u,g,q,h,14.0,t,t,8,f,g,0,6590,positive
b,2433.0,6625.0,y,p,d,v,55.0,t,f,0,t,s,100,0,positive
b,2667.0,271.0,y,p,cc,v,525.0,t,t,1,f,g,211,0,positive
b,5392.0,9625.0,u,g,e,v,8665.0,t,t,5,f,g,0,0,positive
b,6542.0,11.0,u,g,e,z,20.0,t,t,7,t,g,22,0,positive
a,1758.0,9.0,u,g,aa,v,1375.0,t,f,0,t,g,0,0,positive
a,1883.0,954.0,u,g,aa,v,85.0,t,f,0,f,g,100,0,positive
b,2133.0,75.0,u,g,aa,v,1415.0,t,t,1,f,g,80,9800,positive
b,3817.0,10125.0,u,g,x,v,25.0,t,t,6,f,g,520,196,positive
b,205.0,10.0,y,p,c,v,25.0,t,f,0,f,s,40,0,positive
b,45.0,85.0,u,g,cc,h,14.0,t,t,1,t,g,88,2000,positive
a,2075.0,954.0,u,g,i,v,4.0,f,f,0,f,g,200,1000,negative
a,2042.0,105.0,y,p,x,h,0.0,f,f,0,t,g,154,32,negative
b,5967.0,154.0,u,g,q,v,125.0,t,f,0,t,g,260,0,positive
b,1625.0,835.0,u,g,m,v,85.0,t,f,0,f,s,200,0,negative
b,2392.0,585.0,y,p,cc,h,125.0,f,f,0,f,g,240,1,negative
b,1767.0,446.0,u,g,c,v,25.0,f,f,0,f,s,80,0,negative
b,2325.0,12625.0,u,g,c,v,125.0,f,t,2,f,g,0,5552,negative
b,2217.0,12125.0,u,g,c,v,3335.0,f,t,2,t,g,180,173,negative
b,1858.0,1029.0,u,g,ff,ff,415.0,f,f,0,f,g,80,0,negative
b,23.0,75.0,u,g,m,v,5.0,t,f,0,t,s,320,0,negative
b,3475.0,25.0,u,g,cc,bb,5.0,f,f,0,f,g,348,0,negative
b,4733.0,65.0,u,g,c,v,1.0,f,f,0,t,g,0,228,negative
b,225.0,115.0,y,p,m,v,15.0,f,f,0,t,g,0,4000,negative
b,3667.0,2.0,u,g,i,v,25.0,f,f,0,t,g,221,0,negative
b,2308.0,25.0,u,g,ff,ff,85.0,f,f,0,t,g,100,4208,negative
b,4283.0,125.0,u,g,m,v,13875.0,f,t,1,t,g,352,112,negative
b,2142.0,75.0,y,p,r,n,75.0,f,f,0,t,g,132,2,negative
a,45.0,4585.0,u,g,k,h,1.0,f,f,0,t,s,240,0,negative
b,2867.0,145.0,u,g,d,v,125.0,f,f,0,f,g,0,286,negative
b,3358.0,25.0,u,g,i,bb,4.0,f,f,0,t,s,420,0,negative
b,34.0,55.0,y,p,c,v,15.0,f,f,0,t,g,60,0,negative
b,2258.0,15.0,y,p,aa,v,54.0,f,f,0,t,g,120,67,negative
b,2117.0,0.0,u,g,c,v,5.0,f,f,0,t,s,0,0,negative
b,1517.0,7.0,u,g,e,v,1.0,f,f,0,f,g,600,0,negative
b,1708.0,25.0,u,g,q,v,335.0,f,t,4,f,g,160,8,negative
b,2225.0,46.0,u,g,k,v,125.0,f,f,0,t,g,280,55,negative
b,375.0,835.0,u,g,e,v,4.0,f,f,0,f,g,120,5,negative
b,5183.0,3.0,y,p,ff,ff,15.0,f,f,0,f,g,180,4,negative
b,3125.0,1125.0,u,g,ff,ff,0.0,f,t,1,f,g,96,19,negative
b,20.0,7.0,u,g,c,v,5.0,f,f,0,f,g,0,0,negative
b,395.0,1625.0,u,g,c,v,15.0,f,f,0,f,g,0,316,negative
b,365.0,425.0,u,g,q,v,35.0,f,f,0,f,g,454,50,negative
a,2758.0,3.0,u,g,m,v,279.0,f,t,1,t,g,280,10,negative
b,3108.0,3085.0,u,g,c,v,25.0,f,t,2,t,g,160,41,negative
a,2192.0,11665.0,u,g,k,h,85.0,f,f,0,f,g,320,5,negative
b,1742.0,65.0,u,g,i,v,125.0,f,f,0,f,g,60,100,negative
b,2675.0,2.0,u,g,d,v,75.0,f,f,0,t,g,80,0,negative
b,3917.0,25.0,y,p,i,h,10.0,f,f,0,t,s,200,0,negative
b,2275.0,115.0,u,g,i,v,415.0,f,f,0,f,g,0,0,negative
a,1692.0,5.0,u,g,i,v,165.0,f,t,6,t,g,240,35,negative
b,2817.0,125.0,y,p,k,v,85.0,f,f,0,f,g,216,2100,negative
b,1883.0,354.0,y,p,ff,ff,0.0,f,f,0,t,g,180,1,negative
b,2417.0,875.0,u,g,q,v,4625.0,t,t,2,t,g,520,2000,positive
b,2042.0,7.0,u,g,c,v,1625.0,t,t,3,f,g,200,1391,positive
a,2875.0,375.0,u,g,c,v,1085.0,t,t,1,t,g,371,0,positive
a,1892.0,9.0,u,g,aa,v,75.0,t,t,2,f,g,88,591,positive
a,2475.0,3.0,u,g,q,h,1835.0,t,t,19,f,g,0,500,positive
a,4433.0,0.0,u,g,c,v,25.0,t,f,0,f,g,0,0,positive
b,3917.0,171.0,u,g,x,v,125.0,t,t,5,t,g,480,0,positive
a,2858.0,1665.0,u,g,q,v,2415.0,t,f,0,t,g,440,0,negative
a,2458.0,67.0,u,g,aa,h,175.0,t,f,0,f,g,400,0,negative
b,3525.0,3165.0,u,g,x,h,375.0,t,f,0,t,g,680,0,negative
b,4275.0,3.0,u,g,i,bb,1.0,t,f,0,f,g,0,200,negative
a,2283.0,229.0,u,g,q,h,229.0,t,t,7,t,g,140,2384,positive
a,25.0,1233.0,u,g,cc,h,35.0,t,t,6,f,g,400,458,positive
b,2442.0,12335.0,u,g,q,h,1585.0,t,f,0,t,g,120,0,positive
b,2308.0,115.0,u,g,w,h,2125.0,t,t,11,t,g,290,284,positive
b,4308.0,375.0,y,p,c,v,375.0,t,t,8,t,g,300,162,positive
b,3225.0,165.0,y,p,c,h,325.0,t,t,1,t,g,432,8000,positive
b,41.0,4.0,u,g,e,v,4.0,f,t,1,f,s,560,0,positive
b,27.0,75.0,u,g,c,h,425.0,t,t,3,t,g,312,150,positive
b,3417.0,525.0,u,g,w,v,85.0,f,f,0,t,g,290,6,positive
b,2983.0,125.0,y,p,k,v,25.0,f,f,0,f,g,224,0,negative
b,2758.0,325.0,y,p,q,h,5085.0,f,t,2,t,g,369,1,negative
b,22.0,79.0,u,g,w,v,29.0,f,t,1,f,g,420,283,negative
b,2958.0,475.0,u,g,m,v,2.0,f,t,1,t,g,460,68,negative
b,3608.0,254.0,u,g,ff,ff,0.0,f,f,0,f,g,0,1000,negative
a,2725.0,29.0,u,g,m,h,125.0,f,t,1,t,g,272,108,negative
b,3417.0,275.0,u,g,i,bb,25.0,f,f,0,t,g,232,200,negative
b,3158.0,75.0,y,p,aa,v,35.0,f,f,0,t,g,320,0,negative
b,3617.0,42.0,y,p,w,v,29.0,f,f,0,t,g,309,2,negative
b,3733.0,2665.0,u,g,cc,v,165.0,f,f,0,t,g,0,501,negative
b,4808.0,375.0,u,g,i,bb,1.0,f,f,0,f,g,100,2,negative
b,2225.0,9.0,u,g,aa,v,85.0,f,f,0,f,g,0,0,negative
b,4717.0,5835.0,u,g,w,v,55.0,f,f,0,f,g,465,150,negative
a,3058.0,10665.0,u,g,q,h,85.0,f,t,12,t,g,129,3,negative
a,2267.0,75.0,u,g,c,v,2.0,f,t,2,t,g,200,394,negative
a,2525.0,135.0,y,p,ff,ff,2.0,f,t,1,t,g,200,1,negative
b,1792.0,205.0,u,g,aa,v,4.0,f,f,0,f,g,280,750,negative
