@relation winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
8.8, 0.44, 0.49, 2.8, 0.083, 18.0, 111.0, 0.9982, 3.3, 0.6, 9.5, 5
11.1, 0.31, 0.49, 2.7, 0.094, 16.0, 47.0, 0.9986, 3.12, 1.02, 10.6, 7
9.0, 0.45, 0.49, 2.6, 0.084, 21.0, 75.0, 0.9987, 3.35, 0.57, 9.7, 5
8.8, 0.48, 0.41, 3.3, 0.092, 26.0, 52.0, 0.9982, 3.31, 0.53, 10.5, 6
11.5, 0.31, 0.51, 2.2, 0.079, 14.0, 28.0, 0.9982, 3.03, 0.93, 9.8, 6
11.4, 0.46, 0.5, 2.7, 0.122, 4.0, 17.0, 1.0006, 3.13, 0.7, 10.2, 5
11.3, 0.37, 0.41, 2.3, 0.088, 6.0, 16.0, 0.9988, 3.09, 0.8, 9.3, 5
7.9, 0.51, 0.25, 2.9, 0.077, 21.0, 45.0, 0.9974, 3.49, 0.96, 12.1, 6
8.8, 0.6, 0.29, 2.2, 0.098, 5.0, 15.0, 0.9988, 3.36, 0.49, 9.1, 5
9.9, 0.54, 0.45, 2.3, 0.071, 16.0, 40.0, 0.9991, 3.39, 0.62, 9.4, 5
7.8, 0.64, 0.1, 6.0, 0.115, 5.0, 11.0, 0.9984, 3.37, 0.69, 10.1, 7
6.7, 0.42, 0.27, 8.6, 0.068, 24.0, 148.0, 0.9948, 3.16, 0.57, 11.3, 6
7.2, 0.52, 0.07, 1.4, 0.074, 5.0, 20.0, 0.9973, 3.32, 0.81, 9.6, 6
7.2, 0.57, 0.06, 1.6, 0.076, 9.0, 27.0, 0.9972, 3.36, 0.7, 9.6, 6
6.9, 0.4, 0.24, 2.5, 0.083, 30.0, 45.0, 0.9959, 3.26, 0.58, 10.0, 5
13.3, 0.43, 0.58, 1.9, 0.07, 15.0, 40.0, 1.0004, 3.06, 0.49, 9.0, 5
8.1, 0.78, 0.23, 2.6, 0.059, 5.0, 15.0, 0.997, 3.37, 0.56, 11.3, 5
7.4, 1.185, 0.0, 4.25, 0.097, 5.0, 14.0, 0.9966, 3.63, 0.54, 10.7, 3
9.0, 0.47, 0.31, 2.7, 0.084, 24.0, 125.0, 0.9984, 3.31, 0.61, 9.4, 5
10.6, 1.02, 0.43, 2.9, 0.076, 26.0, 88.0, 0.9984, 3.08, 0.57, 10.1, 6
7.0, 0.65, 0.02, 2.1, 0.066, 8.0, 25.0, 0.9972, 3.47, 0.67, 9.5, 6
7.0, 0.64, 0.02, 2.1, 0.067, 9.0, 23.0, 0.997, 3.47, 0.67, 9.4, 6
7.8, 0.545, 0.12, 2.5, 0.068, 11.0, 35.0, 0.996, 3.34, 0.61, 11.6, 6
10.6, 1.025, 0.43, 2.8, 0.08, 21.0, 84.0, 0.9985, 3.06, 0.57, 10.1, 5
8.9, 0.565, 0.34, 3.0, 0.093, 16.0, 112.0, 0.9998, 3.38, 0.61, 9.5, 5
8.0, 0.43, 0.36, 2.3, 0.075, 10.0, 48.0, 0.9976, 3.34, 0.46, 9.4, 5
7.1, 0.66, 0.0, 3.9, 0.086, 17.0, 45.0, 0.9976, 3.46, 0.54, 9.5, 5
6.4, 0.57, 0.02, 1.8, 0.067, 4.0, 11.0, 0.997, 3.46, 0.68, 9.5, 5
9.5, 0.55, 0.66, 2.3, 0.387, 12.0, 37.0, 0.9982, 3.17, 0.67, 9.6, 5
7.3, 0.835, 0.03, 2.1, 0.092, 10.0, 19.0, 0.9966, 3.39, 0.47, 9.6, 5
9.0, 0.46, 0.23, 2.8, 0.092, 28.0, 104.0, 0.9983, 3.1, 0.56, 9.2, 5
9.2, 0.53, 0.24, 2.6, 0.078, 28.0, 139.0, 0.99788, 3.21, 0.57, 9.5, 5
11.6, 0.41, 0.58, 2.8, 0.096, 25.0, 101.0, 1.00024, 3.13, 0.53, 10.0, 5
8.2, 0.34, 0.38, 2.5, 0.08, 12.0, 57.0, 0.9978, 3.3, 0.47, 9.0, 6
8.3, 0.65, 0.1, 2.9, 0.089, 17.0, 40.0, 0.99803, 3.29, 0.55, 9.5, 5
7.6, 0.54, 0.13, 2.5, 0.097, 24.0, 66.0, 0.99785, 3.39, 0.61, 9.4, 5
7.8, 0.48, 0.68, 1.7, 0.415, 14.0, 32.0, 0.99656, 3.09, 1.06, 9.1, 6
7.5, 0.6, 0.32, 2.7, 0.103, 13.0, 98.0, 0.99938, 3.45, 0.62, 9.5, 5
9.4, 0.685, 0.26, 2.4, 0.082, 23.0, 143.0, 0.9978, 3.28, 0.55, 9.4, 5
9.9, 0.35, 0.41, 2.3, 0.083, 11.0, 61.0, 0.9982, 3.21, 0.5, 9.5, 5
10.0, 0.56, 0.24, 2.2, 0.079, 19.0, 58.0, 0.9991, 3.18, 0.56, 10.1, 6
10.0, 0.56, 0.24, 2.2, 0.079, 19.0, 58.0, 0.9991, 3.18, 0.56, 10.1, 6
7.4, 0.37, 0.43, 2.6, 0.082, 18.0, 82.0, 0.99708, 3.33, 0.68, 9.7, 6
7.7, 0.6, 0.0, 2.6, 0.055, 7.0, 13.0, 0.99639, 3.38, 0.56, 10.8, 5
9.4, 0.5, 0.34, 3.6, 0.082, 5.0, 14.0, 0.9987, 3.29, 0.52, 10.7, 6
7.2, 0.61, 0.08, 4.0, 0.082, 26.0, 108.0, 0.99641, 3.25, 0.51, 9.4, 5
7.7, 0.56, 0.08, 2.5, 0.114, 14.0, 46.0, 0.9971, 3.24, 0.66, 9.6, 6
6.9, 0.39, 0.24, 2.1, 0.102, 4.0, 7.0, 0.99462, 3.44, 0.58, 11.4, 4
10.8, 0.45, 0.33, 2.5, 0.099, 20.0, 38.0, 0.99818, 3.24, 0.71, 10.8, 5
9.1, 0.66, 0.15, 3.2, 0.097, 9.0, 59.0, 0.99976, 3.28, 0.54, 9.6, 5
7.0, 0.685, 0.0, 1.9, 0.099, 9.0, 22.0, 0.99606, 3.34, 0.6, 9.7, 5
10.4, 0.44, 0.42, 1.5, 0.145, 34.0, 48.0, 0.99832, 3.38, 0.86, 9.9, 3
10.6, 0.5, 0.45, 2.6, 0.119, 34.0, 68.0, 0.99708, 3.23, 0.72, 10.9, 6
8.2, 0.26, 0.34, 2.5, 0.073, 16.0, 47.0, 0.99594, 3.4, 0.78, 11.3, 7
7.2, 0.62, 0.06, 2.7, 0.077, 15.0, 85.0, 0.99746, 3.51, 0.54, 9.5, 5
7.2, 0.62, 0.06, 2.5, 0.078, 17.0, 84.0, 0.99746, 3.51, 0.53, 9.7, 5
6.8, 0.56, 0.22, 1.8, 0.074, 15.0, 24.0, 0.99438, 3.4, 0.82, 11.2, 6
6.9, 0.56, 0.03, 1.5, 0.086, 36.0, 46.0, 0.99522, 3.53, 0.57, 10.6, 5
7.1, 0.47, 0.0, 2.2, 0.067, 7.0, 14.0, 0.99517, 3.4, 0.58, 10.9, 4
7.7, 0.715, 0.01, 2.1, 0.064, 31.0, 43.0, 0.99371, 3.41, 0.57, 11.8, 6
7.2, 0.6, 0.04, 2.5, 0.076, 18.0, 88.0, 0.99745, 3.53, 0.55, 9.5, 5
7.2, 0.6, 0.04, 2.5, 0.076, 18.0, 88.0, 0.99745, 3.53, 0.55, 9.5, 5
6.8, 0.57, 0.0, 2.5, 0.072, 32.0, 64.0, 0.99491, 3.43, 0.56, 11.2, 6
7.2, 0.34, 0.24, 2.0, 0.071, 30.0, 52.0, 0.99576, 3.44, 0.58, 10.1, 5
8.3, 0.31, 0.39, 2.4, 0.078, 17.0, 43.0, 0.99444, 3.31, 0.77, 12.5, 7
7.1, 0.59, 0.01, 2.3, 0.08, 27.0, 43.0, 0.9955, 3.42, 0.58, 10.7, 6
8.9, 0.31, 0.36, 2.6, 0.056, 10.0, 39.0, 0.99562, 3.4, 0.69, 11.8, 5
7.4, 0.52, 0.13, 2.4, 0.078, 34.0, 61.0, 0.99528, 3.43, 0.59, 10.8, 6
10.0, 0.46, 0.44, 2.9, 0.065, 4.0, 8.0, 0.99674, 3.33, 0.62, 12.2, 6
9.4, 0.395, 0.46, 4.6, 0.094, 3.0, 10.0, 0.99639, 3.27, 0.64, 12.2, 7
7.3, 0.305, 0.39, 1.2, 0.059, 7.0, 11.0, 0.99331, 3.29, 0.52, 11.5, 6
5.3, 0.715, 0.19, 1.5, 0.161, 7.0, 62.0, 0.99395, 3.62, 0.61, 11.0, 5
8.4, 0.36, 0.32, 2.2, 0.081, 32.0, 79.0, 0.9964, 3.3, 0.72, 11.0, 6
8.6, 0.47, 0.27, 2.3, 0.055, 14.0, 28.0, 0.99516, 3.18, 0.8, 11.2, 5
8.6, 0.22, 0.36, 1.9, 0.064, 53.0, 77.0, 0.99604, 3.47, 0.87, 11.0, 7
10.2, 0.44, 0.58, 4.1, 0.092, 11.0, 24.0, 0.99745, 3.29, 0.99, 12.0, 7
8.9, 0.12, 0.45, 1.8, 0.075, 10.0, 21.0, 0.99552, 3.41, 0.76, 11.9, 7
10.2, 0.34, 0.48, 2.1, 0.052, 5.0, 9.0, 0.99458, 3.2, 0.69, 12.1, 7
7.6, 0.43, 0.4, 2.7, 0.082, 6.0, 11.0, 0.99538, 3.44, 0.54, 12.2, 6
9.0, 0.36, 0.52, 2.1, 0.111, 5.0, 10.0, 0.99568, 3.31, 0.62, 11.3, 6
6.4, 0.57, 0.12, 2.3, 0.12, 25.0, 36.0, 0.99519, 3.47, 0.71, 11.3, 7
6.6, 0.57, 0.02, 2.1, 0.115, 6.0, 16.0, 0.99654, 3.38, 0.69, 9.5, 5
10.1, 0.38, 0.5, 2.4, 0.104, 6.0, 13.0, 0.99643, 3.22, 0.65, 11.6, 7
8.8, 0.33, 0.41, 5.9, 0.073, 7.0, 13.0, 0.99658, 3.3, 0.62, 12.1, 7
7.2, 0.41, 0.3, 2.1, 0.083, 35.0, 72.0, 0.997, 3.44, 0.52, 9.4, 5
7.0, 0.4, 0.32, 3.6, 0.061, 9.0, 29.0, 0.99416, 3.28, 0.49, 11.3, 7
12.2, 0.45, 0.49, 1.4, 0.075, 3.0, 6.0, 0.9969, 3.13, 0.63, 10.4, 5
7.4, 0.58, 0.0, 2.0, 0.064, 7.0, 11.0, 0.99562, 3.45, 0.58, 11.3, 6
7.1, 0.36, 0.3, 1.6, 0.08, 35.0, 70.0, 0.99693, 3.44, 0.5, 9.4, 5
9.7, 0.295, 0.4, 1.5, 0.073, 14.0, 21.0, 0.99556, 3.14, 0.51, 10.9, 6
10.0, 0.35, 0.45, 2.5, 0.092, 20.0, 88.0, 0.99918, 3.15, 0.43, 9.4, 5
9.1, 0.3, 0.34, 2.0, 0.064, 12.0, 25.0, 0.99516, 3.26, 0.84, 11.7, 7
8.9, 0.35, 0.4, 3.6, 0.11, 12.0, 24.0, 0.99549, 3.23, 0.7, 12.0, 7
8.9, 0.32, 0.31, 2.0, 0.088, 12.0, 19.0, 0.9957, 3.17, 0.55, 10.4, 6
10.5, 0.39, 0.46, 2.2, 0.075, 14.0, 27.0, 0.99598, 3.06, 0.84, 11.4, 6
8.0, 0.18, 0.37, 0.9, 0.049, 36.0, 109.0, 0.99007, 2.89, 0.44, 12.7, 6
8.0, 0.18, 0.37, 0.9, 0.049, 36.0, 109.0, 0.99007, 2.89, 0.44, 12.7, 6
11.3, 0.36, 0.66, 2.4, 0.123, 3.0, 8.0, 0.99642, 3.2, 0.53, 11.9, 6
7.2, 0.34, 0.21, 2.5, 0.075, 41.0, 68.0, 0.99586, 3.37, 0.54, 10.1, 6
8.1, 0.82, 0.0, 4.1, 0.095, 5.0, 14.0, 0.99854, 3.36, 0.53, 9.6, 5
6.9, 0.44, 0.0, 1.4, 0.07, 32.0, 38.0, 0.99438, 3.32, 0.58, 11.4, 6
9.3, 0.5, 0.36, 1.8, 0.084, 6.0, 17.0, 0.99704, 3.27, 0.77, 10.8, 6
8.5, 0.46, 0.59, 1.4, 0.414, 16.0, 45.0, 0.99702, 3.03, 1.34, 9.2, 5
11.6, 0.23, 0.57, 1.8, 0.074, 3.0, 8.0, 0.9981, 3.14, 0.7, 9.9, 6
11.1, 0.31, 0.53, 2.2, 0.06, 3.0, 10.0, 0.99572, 3.02, 0.83, 10.9, 7
9.9, 0.32, 0.56, 2.0, 0.073, 3.0, 8.0, 0.99534, 3.15, 0.73, 11.4, 6
8.6, 0.37, 0.65, 6.4, 0.08, 3.0, 8.0, 0.99817, 3.27, 0.58, 11.0, 5
7.9, 0.3, 0.68, 8.3, 0.05, 37.5, 289.0, 0.99316, 3.01, 0.51, 12.3, 7
7.2, 0.38, 0.3, 1.8, 0.073, 31.0, 70.0, 0.99685, 3.42, 0.59, 9.5, 6
7.9, 0.19, 0.42, 1.6, 0.057, 18.0, 30.0, 0.994, 3.29, 0.69, 11.2, 6
11.6, 0.41, 0.54, 1.5, 0.095, 22.0, 41.0, 0.99735, 3.02, 0.76, 9.9, 7
7.9, 0.34, 0.42, 2.0, 0.086, 8.0, 19.0, 0.99546, 3.35, 0.6, 11.4, 6
7.0, 0.54, 0.09, 2.0, 0.081, 10.0, 16.0, 0.99479, 3.43, 0.59, 11.5, 6
9.2, 0.31, 0.36, 2.2, 0.079, 11.0, 31.0, 0.99615, 3.33, 0.86, 12.0, 7
6.6, 0.725, 0.09, 5.5, 0.117, 9.0, 17.0, 0.99655, 3.35, 0.49, 10.8, 6
8.4, 0.34, 0.42, 2.1, 0.072, 23.0, 36.0, 0.99392, 3.11, 0.78, 12.4, 6
6.3, 0.57, 0.28, 2.1, 0.048, 13.0, 49.0, 0.99374, 3.41, 0.6, 12.8, 5
9.1, 0.3, 0.41, 2.0, 0.068, 10.0, 24.0, 0.99523, 3.27, 0.85, 11.7, 7
10.8, 0.47, 0.43, 2.1, 0.171, 27.0, 66.0, 0.9982, 3.17, 0.76, 10.8, 6
