@relation winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
11.5, 0.315, 0.54, 2.1, 0.084, 5.0, 15.0, 0.9987, 2.98, 0.7, 9.2, 6
10.0, 0.29, 0.4, 2.9, 0.098, 10.0, 26.0, 1.0006, 3.48, 0.91, 9.7, 5
12.5, 0.37, 0.55, 2.6, 0.083, 25.0, 68.0, 0.9995, 3.15, 0.82, 10.4, 6
10.6, 0.36, 0.6, 2.2, 0.152, 7.0, 18.0, 0.9986, 3.04, 1.06, 9.4, 5
11.6, 0.32, 0.55, 2.8, 0.081, 35.0, 67.0, 1.0002, 3.32, 0.92, 10.8, 7
8.9, 0.4, 0.51, 2.6, 0.052, 13.0, 27.0, 0.995, 3.32, 0.9, 13.4, 7
8.7, 0.69, 0.31, 3.0, 0.086, 23.0, 81.0, 1.0002, 3.48, 0.74, 11.6, 6
10.7, 0.35, 0.53, 2.6, 0.07, 5.0, 16.0, 0.9972, 3.15, 0.65, 11.0, 8
8.7, 0.69, 0.31, 3.0, 0.086, 23.0, 81.0, 1.0002, 3.48, 0.74, 11.6, 6
10.4, 0.44, 0.73, 6.55, 0.074, 38.0, 76.0, 0.999, 3.17, 0.85, 12.0, 7
8.5, 0.655, 0.49, 6.1, 0.122, 34.0, 151.0, 1.001, 3.31, 1.14, 9.3, 5
10.4, 0.61, 0.49, 2.1, 0.2, 5.0, 16.0, 0.9994, 3.16, 0.63, 8.4, 3
7.3, 0.365, 0.49, 2.5, 0.088, 39.0, 106.0, 0.9966, 3.36, 0.78, 11.0, 5
9.3, 0.4, 0.49, 2.5, 0.085, 38.0, 142.0, 0.9978, 3.22, 0.55, 9.4, 5
7.3, 0.365, 0.49, 2.5, 0.088, 39.0, 106.0, 0.9966, 3.36, 0.78, 11.0, 5
7.0, 0.38, 0.49, 2.5, 0.097, 33.0, 85.0, 0.9962, 3.39, 0.77, 11.4, 6
12.9, 0.35, 0.49, 5.8, 0.066, 5.0, 35.0, 1.0014, 3.2, 0.66, 12.0, 7
14.3, 0.31, 0.74, 1.8, 0.075, 6.0, 15.0, 1.0008, 2.86, 0.79, 8.4, 6
10.6, 0.31, 0.49, 2.5, 0.067, 6.0, 21.0, 0.9987, 3.26, 0.86, 10.7, 6
12.4, 0.35, 0.49, 2.6, 0.079, 27.0, 69.0, 0.9994, 3.12, 0.75, 10.4, 6
15.5, 0.645, 0.49, 4.2, 0.095, 10.0, 23.0, 1.00315, 2.92, 0.74, 11.1, 5
9.0, 0.44, 0.49, 2.4, 0.078, 26.0, 121.0, 0.9978, 3.23, 0.58, 9.2, 5
13.0, 0.47, 0.49, 4.3, 0.085, 6.0, 47.0, 1.0021, 3.3, 0.68, 12.7, 6
9.9, 0.5, 0.24, 2.3, 0.103, 6.0, 14.0, 0.9978, 3.34, 0.52, 10.0, 4
12.3, 0.5, 0.49, 2.2, 0.089, 5.0, 14.0, 1.0002, 3.19, 0.44, 9.6, 5
5.0, 0.42, 0.24, 2.0, 0.06, 19.0, 50.0, 0.9917, 3.72, 0.74, 14.0, 8
12.4, 0.4, 0.51, 2.0, 0.059, 6.0, 24.0, 0.9994, 3.04, 0.6, 9.3, 6
10.1, 0.65, 0.37, 5.1, 0.11, 11.0, 65.0, 1.0026, 3.32, 0.64, 10.4, 6
9.6, 0.6, 0.5, 2.3, 0.079, 28.0, 71.0, 0.9997, 3.5, 0.57, 9.7, 5
8.8, 0.6, 0.29, 2.2, 0.098, 5.0, 15.0, 0.9988, 3.36, 0.49, 9.1, 5
10.4, 0.28, 0.54, 2.7, 0.105, 5.0, 19.0, 0.9988, 3.25, 0.63, 9.5, 5
10.1, 0.935, 0.22, 3.4, 0.105, 11.0, 86.0, 1.001, 3.43, 0.64, 11.3, 4
7.9, 0.35, 0.21, 1.9, 0.073, 46.0, 102.0, 0.9964, 3.27, 0.58, 9.5, 5
9.6, 0.88, 0.28, 2.4, 0.086, 30.0, 147.0, 0.9979, 3.24, 0.53, 9.4, 5
7.7, 0.915, 0.12, 2.2, 0.143, 7.0, 23.0, 0.9964, 3.35, 0.65, 10.2, 7
9.9, 0.54, 0.45, 2.3, 0.071, 16.0, 40.0, 0.9991, 3.39, 0.62, 9.4, 5
9.9, 0.54, 0.45, 2.3, 0.071, 16.0, 40.0, 0.9991, 3.39, 0.62, 9.4, 5
9.4, 0.33, 0.59, 2.8, 0.079, 9.0, 30.0, 0.9976, 3.12, 0.54, 12.0, 6
12.1, 0.4, 0.52, 2.0, 0.092, 15.0, 54.0, 1.0, 3.03, 0.66, 10.2, 5
10.0, 0.73, 0.43, 2.3, 0.059, 15.0, 31.0, 0.9966, 3.15, 0.57, 11.0, 5
9.8, 1.24, 0.34, 2.0, 0.079, 32.0, 151.0, 0.998, 3.15, 0.53, 9.5, 5
8.2, 0.73, 0.21, 1.7, 0.074, 5.0, 13.0, 0.9968, 3.2, 0.52, 9.5, 5
8.0, 0.45, 0.23, 2.2, 0.094, 16.0, 29.0, 0.9962, 3.21, 0.49, 10.2, 6
8.1, 0.78, 0.23, 2.6, 0.059, 5.0, 15.0, 0.997, 3.37, 0.56, 11.3, 5
8.1, 0.38, 0.48, 1.8, 0.157, 5.0, 17.0, 0.9976, 3.3, 1.05, 9.4, 5
9.4, 0.615, 0.28, 3.2, 0.087, 18.0, 72.0, 1.0001, 3.31, 0.53, 9.7, 5
9.1, 0.765, 0.04, 1.6, 0.078, 4.0, 14.0, 0.998, 3.29, 0.54, 9.7, 4
8.4, 0.56, 0.04, 2.0, 0.082, 10.0, 22.0, 0.9976, 3.22, 0.44, 9.6, 5
8.9, 0.48, 0.24, 2.85, 0.094, 35.0, 106.0, 0.9982, 3.1, 0.53, 9.2, 5
8.1, 0.72, 0.09, 2.8, 0.084, 18.0, 49.0, 0.9994, 3.43, 0.72, 11.1, 6
6.4, 0.57, 0.02, 1.8, 0.067, 4.0, 11.0, 0.997, 3.46, 0.68, 9.5, 5
6.5, 0.615, 0.0, 1.9, 0.065, 9.0, 18.0, 0.9972, 3.46, 0.65, 9.2, 5
8.3, 0.65, 0.1, 2.9, 0.089, 17.0, 40.0, 0.99803, 3.29, 0.55, 9.5, 5
8.1, 0.87, 0.0, 2.2, 0.084, 10.0, 31.0, 0.99656, 3.25, 0.5, 9.8, 5
9.0, 0.58, 0.25, 2.8, 0.075, 9.0, 104.0, 0.99779, 3.23, 0.57, 9.7, 5
9.1, 0.68, 0.11, 2.8, 0.093, 11.0, 44.0, 0.99888, 3.31, 0.55, 9.5, 6
7.1, 0.59, 0.02, 2.3, 0.082, 24.0, 94.0, 0.99744, 3.55, 0.53, 9.7, 6
7.9, 0.4, 0.29, 1.8, 0.157, 1.0, 44.0, 0.9973, 3.3, 0.92, 9.5, 6
7.9, 0.4, 0.3, 1.8, 0.157, 2.0, 45.0, 0.99727, 3.31, 0.91, 9.5, 6
6.9, 0.765, 0.18, 2.4, 0.243, 5.5, 48.0, 0.99612, 3.4, 0.6, 10.3, 6
6.9, 0.635, 0.17, 2.4, 0.241, 6.0, 18.0, 0.9961, 3.4, 0.59, 10.3, 6
9.0, 0.82, 0.05, 2.4, 0.081, 26.0, 96.0, 0.99814, 3.36, 0.53, 10.0, 5
10.8, 0.89, 0.3, 2.6, 0.132, 7.0, 60.0, 0.99786, 2.99, 1.18, 10.2, 5
8.7, 0.46, 0.31, 2.5, 0.126, 24.0, 64.0, 0.99746, 3.1, 0.74, 9.6, 5
9.3, 0.37, 0.44, 1.6, 0.038, 21.0, 42.0, 0.99526, 3.24, 0.81, 10.8, 7
9.4, 0.5, 0.34, 3.6, 0.082, 5.0, 14.0, 0.9987, 3.29, 0.52, 10.7, 6
8.6, 0.55, 0.09, 3.3, 0.068, 8.0, 17.0, 0.99735, 3.23, 0.44, 10.0, 5
5.1, 0.585, 0.0, 1.7, 0.044, 14.0, 86.0, 0.99264, 3.56, 0.94, 12.9, 7
8.2, 0.28, 0.4, 2.4, 0.052, 4.0, 10.0, 0.99356, 3.33, 0.7, 12.8, 7
7.4, 0.53, 0.12, 1.9, 0.165, 4.0, 12.0, 0.99702, 3.26, 0.86, 9.2, 5
9.8, 0.51, 0.19, 3.2, 0.081, 8.0, 30.0, 0.9984, 3.23, 0.58, 10.5, 6
10.8, 0.29, 0.42, 1.6, 0.084, 19.0, 27.0, 0.99545, 3.28, 0.73, 11.9, 6
7.1, 0.48, 0.28, 2.8, 0.068, 6.0, 16.0, 0.99682, 3.24, 0.53, 10.3, 5
7.1, 0.46, 0.14, 2.8, 0.076, 15.0, 37.0, 0.99624, 3.36, 0.49, 10.7, 5
6.6, 0.66, 0.0, 3.0, 0.115, 21.0, 31.0, 0.99629, 3.45, 0.63, 10.3, 5
7.1, 0.685, 0.35, 2.0, 0.088, 9.0, 92.0, 0.9963, 3.28, 0.62, 9.4, 5
9.9, 0.25, 0.46, 1.7, 0.062, 26.0, 42.0, 0.9959, 3.18, 0.83, 10.6, 6
7.4, 0.68, 0.16, 1.8, 0.078, 12.0, 39.0, 0.9977, 3.5, 0.7, 9.9, 6
11.7, 0.28, 0.47, 1.7, 0.054, 17.0, 32.0, 0.99686, 3.15, 0.67, 10.6, 7
7.2, 0.62, 0.06, 2.7, 0.077, 15.0, 85.0, 0.99746, 3.51, 0.54, 9.5, 5
6.8, 0.49, 0.22, 2.3, 0.071, 13.0, 24.0, 0.99438, 3.41, 0.83, 11.3, 6
7.7, 0.715, 0.01, 2.1, 0.064, 31.0, 43.0, 0.99371, 3.41, 0.57, 11.8, 6
8.8, 0.31, 0.4, 2.8, 0.109, 7.0, 16.0, 0.99614, 3.31, 0.79, 11.8, 7
9.2, 0.56, 0.18, 1.6, 0.078, 10.0, 21.0, 0.99576, 3.15, 0.49, 9.9, 5
8.9, 0.75, 0.14, 2.5, 0.086, 9.0, 30.0, 0.99824, 3.34, 0.64, 10.5, 5
7.2, 0.63, 0.03, 2.2, 0.08, 17.0, 88.0, 0.99745, 3.53, 0.58, 9.8, 6
9.2, 0.58, 0.2, 3.0, 0.081, 15.0, 115.0, 0.998, 3.23, 0.59, 9.5, 5
9.3, 0.38, 0.48, 3.8, 0.132, 3.0, 11.0, 0.99577, 3.23, 0.57, 13.2, 6
8.4, 0.36, 0.32, 2.2, 0.081, 32.0, 79.0, 0.9964, 3.3, 0.72, 11.0, 6
8.4, 0.62, 0.12, 1.8, 0.072, 38.0, 46.0, 0.99504, 3.38, 0.89, 11.8, 6
8.4, 0.67, 0.19, 2.2, 0.093, 11.0, 75.0, 0.99736, 3.2, 0.59, 9.2, 4
8.6, 0.47, 0.27, 2.3, 0.055, 14.0, 28.0, 0.99516, 3.18, 0.8, 11.2, 5
7.6, 0.4, 0.29, 1.9, 0.078, 29.0, 66.0, 0.9971, 3.45, 0.59, 9.5, 6
8.8, 0.3, 0.38, 2.3, 0.06, 19.0, 72.0, 0.99543, 3.39, 0.72, 11.8, 6
7.2, 0.38, 0.38, 2.8, 0.068, 23.0, 42.0, 0.99356, 3.34, 0.72, 12.9, 7
8.3, 0.28, 0.48, 2.1, 0.093, 6.0, 12.0, 0.99408, 3.26, 0.62, 12.4, 7
8.2, 0.31, 0.4, 2.2, 0.058, 6.0, 10.0, 0.99536, 3.31, 0.68, 11.2, 7
8.5, 0.47, 0.27, 1.9, 0.058, 18.0, 38.0, 0.99518, 3.16, 0.85, 11.1, 6
8.5, 0.34, 0.44, 1.7, 0.079, 6.0, 12.0, 0.99605, 3.52, 0.63, 10.7, 5
12.2, 0.45, 0.49, 1.4, 0.075, 3.0, 6.0, 0.9969, 3.13, 0.63, 10.4, 5
9.5, 0.86, 0.26, 1.9, 0.079, 13.0, 28.0, 0.99712, 3.25, 0.62, 10.0, 5
9.1, 0.5, 0.3, 1.9, 0.065, 8.0, 17.0, 0.99774, 3.32, 0.71, 10.5, 6
6.4, 0.69, 0.0, 1.65, 0.055, 7.0, 12.0, 0.99162, 3.47, 0.53, 12.9, 6
9.1, 0.29, 0.33, 2.05, 0.063, 13.0, 27.0, 0.99516, 3.26, 0.84, 11.7, 7
8.2, 0.43, 0.29, 1.6, 0.081, 27.0, 45.0, 0.99603, 3.25, 0.54, 10.3, 5
6.8, 0.36, 0.32, 1.8, 0.067, 4.0, 8.0, 0.9928, 3.36, 0.55, 12.8, 7
8.9, 0.28, 0.45, 1.7, 0.067, 7.0, 12.0, 0.99354, 3.25, 0.55, 12.3, 7
7.7, 1.005, 0.15, 2.1, 0.102, 11.0, 32.0, 0.99604, 3.23, 0.48, 10.0, 5
8.2, 0.32, 0.42, 2.3, 0.098, 3.0, 9.0, 0.99506, 3.27, 0.55, 12.3, 6
7.7, 0.58, 0.01, 1.8, 0.088, 12.0, 18.0, 0.99568, 3.32, 0.56, 10.5, 7
8.9, 0.745, 0.18, 2.5, 0.077, 15.0, 48.0, 0.99739, 3.2, 0.47, 9.7, 6
6.9, 0.49, 0.19, 1.7, 0.079, 13.0, 26.0, 0.99547, 3.38, 0.64, 9.8, 6
8.9, 0.5, 0.21, 2.2, 0.088, 21.0, 39.0, 0.99692, 3.33, 0.83, 11.1, 6
9.5, 0.39, 0.41, 8.9, 0.069, 18.0, 39.0, 0.99859, 3.29, 0.81, 10.9, 7
6.4, 0.39, 0.33, 3.3, 0.046, 12.0, 53.0, 0.99294, 3.36, 0.62, 12.2, 6
9.9, 0.53, 0.57, 2.4, 0.093, 30.0, 52.0, 0.9971, 3.19, 0.76, 11.6, 7
8.0, 0.62, 0.33, 2.7, 0.088, 16.0, 37.0, 0.9972, 3.31, 0.58, 10.7, 6
6.8, 0.48, 0.08, 1.8, 0.074, 40.0, 64.0, 0.99529, 3.12, 0.49, 9.6, 5
8.0, 0.31, 0.45, 2.1, 0.216, 5.0, 16.0, 0.99358, 3.15, 0.81, 12.5, 7
8.0, 0.48, 0.34, 2.2, 0.073, 16.0, 25.0, 0.9936, 3.28, 0.66, 12.4, 6
10.0, 0.43, 0.33, 2.7, 0.095, 28.0, 89.0, 0.9984, 3.22, 0.68, 10.0, 5
10.4, 0.52, 0.45, 2.0, 0.08, 6.0, 13.0, 0.99774, 3.22, 0.76, 11.4, 6
7.5, 0.41, 0.15, 3.7, 0.104, 29.0, 94.0, 0.99786, 3.14, 0.58, 9.1, 5
8.2, 0.38, 0.32, 2.5, 0.08, 24.0, 71.0, 0.99624, 3.27, 0.85, 11.0, 6
7.8, 0.5, 0.12, 1.8, 0.178, 6.0, 21.0, 0.996, 3.28, 0.87, 9.8, 6
6.1, 0.58, 0.23, 2.5, 0.044, 16.0, 70.0, 0.99352, 3.46, 0.65, 12.5, 6
8.3, 0.6, 0.25, 2.2, 0.118, 9.0, 38.0, 0.99616, 3.15, 0.53, 9.8, 5
8.5, 0.18, 0.51, 1.75, 0.071, 45.0, 88.0, 0.99524, 3.33, 0.76, 11.8, 7
10.2, 0.41, 0.43, 2.2, 0.11, 11.0, 37.0, 0.99728, 3.16, 0.67, 10.8, 5
10.6, 0.36, 0.57, 2.3, 0.087, 6.0, 20.0, 0.99676, 3.14, 0.72, 11.1, 7
9.0, 0.785, 0.24, 1.7, 0.078, 10.0, 21.0, 0.99692, 3.29, 0.67, 10.0, 5
9.9, 0.54, 0.26, 2.0, 0.111, 7.0, 60.0, 0.99709, 2.94, 0.98, 10.2, 5
8.2, 0.33, 0.39, 2.5, 0.074, 29.0, 48.0, 0.99528, 3.32, 0.88, 12.4, 7
7.1, 0.59, 0.0, 2.2, 0.078, 26.0, 44.0, 0.99522, 3.42, 0.68, 10.8, 6
6.5, 0.88, 0.03, 5.6, 0.079, 23.0, 47.0, 0.99572, 3.58, 0.5, 11.2, 4
